Date,Price
9/21/23,88.32
9/20/23,89.66
9/19/23,90.48
9/18/23,90.58
9/15/23,90.02
9/14/23,89.61
9/13/23,87.88
9/12/23,88.16
9/11/23,86.66
9/8/23,86.81
9/7/23,86.15
9/6/23,86.79
9/5/23,86.01
9/4/23,85.82
9/3/23,85.85
9/1/23,84.75
8/31/23,82.96
8/30/23,81.12
8/29/23,80.68
8/28/23,79.67
8/25/23,79.49
8/24/23,78.66
8/23/23,78.59
8/22/23,79.64
8/21/23,80.12
8/18/23,80.66
8/17/23,79.9
8/16/23,79.02
8/15/23,80.5
8/14/23,81.92
8/11/23,82.57
8/10/23,82.29
8/9/23,83.69
8/8/23,82.36
8/7/23,81.49
8/4/23,82.27
8/3/23,81.08
8/2/23,79.13
8/1/23,80.92
7/31/23,81.32
7/28/23,80.18
7/27/23,79.63
7/26/23,78.4
7/25/23,79.2
7/24/23,78.4
7/21/23,76.78
7/20/23,75.65
7/19/23,75.29
7/18/23,75.66
7/17/23,74.08
7/14/23,75.32
7/13/23,76.76
7/12/23,75.54
7/11/23,74.71
7/10/23,72.95
7/7/23,73.77
7/6/23,71.79
7/5/23,71.88
7/4/23,71.06
7/3/23,69.91
6/30/23,70.78
6/29/23,70.02
6/28/23,69.73
6/27/23,67.9
6/26/23,69.54
6/23/23,69.32
6/22/23,69.63
6/21/23,72.52
6/20/23,71.19
6/19/23,71.31
6/18/23,71.47
6/16/23,71.93
6/15/23,70.81
6/14/23,68.46
6/13/23,69.58
6/12/23,67.29
6/9/23,70.33
6/8/23,71.44
6/7/23,72.64
6/6/23,71.85
6/5/23,72.26
6/2/23,71.84
6/1/23,70.2
5/31/23,68.24
5/30/23,69.6
5/29/23,72.87
5/28/23,73.22
5/26/23,72.76
5/25/23,71.93
5/24/23,74.29
5/23/23,72.85
5/22/23,72.05
5/19/23,71.69
5/18/23,71.94
5/17/23,72.89
5/16/23,70.84
5/15/23,71.09
5/12/23,70.02
5/11/23,70.88
5/10/23,72.52
5/9/23,73.62
5/8/23,73.07
5/5/23,71.27
5/4/23,68.51
5/3/23,68.55
5/2/23,71.55
5/1/23,75.51
4/28/23,76.61
4/27/23,74.58
4/26/23,74.19
4/25/23,76.87
4/24/23,78.6
4/21/23,77.71
4/20/23,77.37
4/19/23,79.24
4/18/23,80.9
4/17/23,80.83
4/14/23,82.43
4/13/23,82.04
4/12/23,83.09
4/11/23,81.49
4/10/23,79.77
4/6/23,80.68
4/5/23,80.63
4/4/23,80.72
4/3/23,80.44
3/31/23,75.8
3/30/23,74.49
3/29/23,73.12
3/28/23,73.34
3/27/23,72.93
3/24/23,69.41
3/23/23,70.12
3/22/23,71.02
3/21/23,69.67
3/20/23,67.82
3/17/23,66.93
3/16/23,68.52
3/15/23,67.74
3/14/23,71.49
3/13/23,74.91
3/10/23,76.78
3/9/23,75.84
3/8/23,76.81
3/7/23,77.72
3/6/23,80.56
3/3/23,79.79
3/2/23,78.31
3/1/23,77.83
2/28/23,77.19
2/27/23,75.81
2/24/23,76.47
2/23/23,75.6
2/22/23,74.19
2/21/23,76.36
2/20/23,77.3
2/19/23,76.67
2/17/23,76.55
2/16/23,78.74
2/15/23,78.83
2/14/23,79.24
2/13/23,80.33
2/10/23,79.92
2/9/23,78.27
2/8/23,78.69
2/7/23,77.39
2/6/23,74.47
2/3/23,73.74
2/2/23,76.2
2/1/23,76.73
1/31/23,79.17
1/30/23,78.18
1/27/23,79.96
1/26/23,81.28
1/25/23,80.44
1/24/23,80.44
1/23/23,81.93
1/20/23,81.64
1/19/23,80.61
1/18/23,79.8
1/17/23,80.45
1/16/23,79.04
1/15/23,79.78
1/13/23,80.11
1/12/23,78.65
1/11/23,77.68
1/10/23,75.37
1/9/23,74.92
1/6/23,74.04
1/5/23,73.92
1/4/23,73.1
1/3/23,77.12
1/2/23,80.47
12/30/22,80.45
12/29/22,78.5
12/28/22,79.08
12/27/22,79.64
12/26/22,80.97
12/23/22,79.64
12/22/22,77.42
12/21/22,78.24
12/20/22,76.23
12/19/22,75.38
12/16/22,74.46
12/15/22,76.15
12/14/22,77.31
12/13/22,75.44
12/12/22,73.28
12/9/22,71.21
12/8/22,71.58
12/7/22,72.28
12/6/22,74.46
12/5/22,77.08
12/2/22,80.05
12/1/22,81.14
11/30/22,80.66
11/29/22,78.28
11/28/22,77.33
11/25/22,76.43
11/24/22,77.95
11/23/22,78.07
11/22/22,80.73
11/21/22,80.04
11/18/22,80.11
11/17/22,81.4
11/16/22,85
11/15/22,86.25
11/14/22,85.16
11/11/22,88.16
11/10/22,85.66
11/9/22,85
11/8/22,88
11/7/22,90.73
11/4/22,91.45
11/3/22,87.18
11/2/22,88.86
11/1/22,87.19
10/31/22,85.4
10/28/22,86.61
10/27/22,87.83
10/26/22,86.68
10/25/22,84.31
10/24/22,83.59
10/21/22,83.95
10/20/22,84.51
10/19/22,84.52
10/18/22,82.07
10/17/22,84.53
10/14/22,84.65
10/13/22,87.95
10/12/22,86.06
10/11/22,87.97
10/10/22,89.84
10/7/22,91.35
10/6/22,87.59
10/5/22,86.84
10/4/22,85.5
10/3/22,82.7
9/30/22,78.72
9/29/22,80.42
9/28/22,81.24
9/27/22,77.81
9/26/22,76.18
9/23/22,78.25
9/22/22,83.03
9/21/22,82.43
9/20/22,83.94
9/19/22,85.36
9/16/22,84.76
9/15/22,84.65
9/14/22,88.05
9/13/22,86.89
9/12/22,87.41
9/9/22,86.36
9/8/22,83.07
9/7/22,81.63
9/6/22,86.51
9/5/22,88.96
9/4/22,88.25
9/2/22,86.48
9/1/22,86.22
8/31/22,89.03
8/30/22,91.17
8/29/22,96.19
8/26/22,92.39
8/25/22,92.19
8/24/22,94.4
8/23/22,93.25
8/22/22,90.36
8/19/22,90.44
8/18/22,90.11
8/17/22,87.69
8/16/22,86.16
8/15/22,88.85
8/12/22,91.46
8/11/22,93.53
8/10/22,91.2
8/9/22,89.67
8/8/22,89.93
8/5/22,88.08
8/4/22,87.56
8/3/22,89.74
8/2/22,93.22
8/1/22,92.39
7/29/22,96.75
7/28/22,94.65
7/27/22,95.29
7/26/22,92.88
7/25/22,94.42
7/22/22,92.43
7/21/22,93.78
7/20/22,99.88
7/19/22,100.74
7/18/22,99.42
7/15/22,94.57
7/14/22,92.83
7/13/22,93.83
7/12/22,93.31
7/11/22,101.21
7/8/22,101.53
7/7/22,99.25
7/6/22,94.98
7/5/22,96.52
7/4/22,110.4
7/3/22,108.19
7/1/22,105.39
6/30/22,103.1
6/29/22,107.01
6/28/22,108.89
6/27/22,106.38
6/24/22,104.45
6/23/22,101.58
6/22/22,103.99
6/21/22,109.52
6/20/22,108.84
6/19/22,108.94
6/17/22,107.99
6/16/22,115.25
6/15/22,113.09
6/14/22,116.26
6/13/22,118.25
6/10/22,118.12
6/9/22,119.09
6/8/22,119.78
6/7/22,117.1
6/6/22,116.06
6/3/22,116.23
6/2/22,114.3
6/1/22,112.72
5/31/22,111.91
5/30/22,117.61
5/29/22,115.61
5/27/22,112.23
5/26/22,111.25
5/25/22,107.75
5/24/22,107.2
5/23/22,107.54
5/20/22,110.28
5/19/22,109.89
5/18/22,107.04
5/17/22,109.63
5/16/22,111.82
5/13/22,108.63
5/12/22,104.4
5/11/22,104.03
5/10/22,98.45
5/9/22,101.77
5/6/22,108.33
5/5/22,106.74
5/4/22,106.22
5/3/22,100.9
5/2/22,103.42
4/29/22,102.94
4/28/22,103.47
4/27/22,100.68
4/26/22,100.41
4/25/22,97.67
4/22/22,101.05
4/21/22,102.96
4/20/22,102.19
4/19/22,102.05
4/18/22,107.61
4/14/22,106.38
4/13/22,103.79
4/12/22,100.15
4/11/22,93.92
4/8/22,97.73
4/7/22,95.51
4/6/22,95.41
4/5/22,100.68
4/4/22,101.84
4/1/22,97.9
3/31/22,98.52
3/30/22,105.68
3/29/22,102.05
3/28/22,103.42
3/25/22,111.06
3/24/22,109.43
3/23/22,111.99
3/22/22,109.27
3/21/22,109.97
3/18/22,103.09
3/17/22,101.65
3/16/22,93.59
3/15/22,94.79
3/14/22,101.18
3/11/22,106.3
3/10/22,102.99
3/9/22,105.05
3/8/22,119.65
3/7/22,115.8
3/4/22,112.11
3/3/22,104.61
3/2/22,107.06
3/1/22,100.21
2/28/22,93.5
2/25/22,89.89
2/24/22,90.94
2/23/22,90.69
2/22/22,91.91
2/21/22,92.65
2/20/22,91.62
2/18/22,90.21
2/17/22,90.04
2/16/22,91.83
2/15/22,90.21
2/14/22,93.5
2/11/22,91.42
2/10/22,88.56
2/9/22,88.53
2/8/22,87.9
2/7/22,89.77
2/4/22,90.33
2/3/22,88.45
2/2/22,86.69
2/1/22,86.46
1/31/22,86.49
1/28/22,85.43
1/27/22,85.29
1/26/22,85.96
1/25/22,84.37
1/24/22,82.41
1/21/22,84.14
1/20/22,85.55
1/19/22,85.8
1/18/22,84.83
1/17/22,83.69
1/16/22,83.83
1/14/22,83.3
1/13/22,81.62
1/12/22,82.02
1/11/22,80.67
1/10/22,77.7
1/7/22,78.44
1/6/22,78.88
1/5/22,77.47
1/4/22,76.74
1/3/22,75.85
12/31/21,74.88
12/30/21,76.61
12/29/21,76.18
12/28/21,75.6
12/27/21,75.18
12/23/21,73.42
12/22/21,72.33
12/21/21,70.82
12/20/21,68.61
12/17/21,70.72
12/16/21,72.15
12/15/21,70.66
12/14/21,70.52
12/13/21,71.06
12/10/21,71.48
12/9/21,70.79
12/8/21,72.18
12/7/21,71.84
12/6/21,69.3
12/3/21,66.1
