asset,bundle,variable,coef,se,p,stars
ETH,act+rates+ar,eth_fees_lag1,9.644602229748915e-11,1.6959234743634118e-10,0.5695643331614653,
ETH,act+rates+ar,d_oil_consumption,0.0216531128961093,0.0225722167978961,0.3374168876808405,
ETH,act+rates+ar,oil_consumption_lag1,-7.82522934839465e-08,4.498584106692954e-08,0.0819491066052107,*
OIL,act+rates+ar,d_spy_earnings,0.0033816313068641,0.022070165071631,0.8782233350048914,
OIL,act+rates+ar,spy_earnings_lag1,-4.2501303365131447e-10,4.2012541672747645e-09,0.9194207732766534,
OIL,act+rates+ar,d_msft_earnings,-0.0002261141817388,0.0185687635875255,0.9902842989433592,
OIL,act+rates+ar,msft_earnings_lag1,9.430762149318828e-05,0.000471321925786,0.8414088378089788,
OIL,act+rates+ar,d_eth_fees,-9.49683545135902e-05,0.000328694349514,0.7726379813649781,
OIL,act+rates+ar,eth_fees_lag1,-7.227721711004221e-12,7.324338347105645e-11,0.9213916484,
OIL,act+rates+ar,d_oil_consumption,0.0251407555529499,0.022846871207739,0.2711567638107687,
OIL,act+rates+ar,oil_consumption_lag1,-3.1173598043156695e-08,5.0865469856917074e-08,0.5399664933281536,
